fake;fake
036;AUD
944;AZN
826;GBP
051;AMD
933;BYN
975;BGN
986;BRL
348;HUF
344;HKD
208;DKK
840;USD
978;EUR
356;INR
398;KZT
124;CAD
417;KGS
156;CNY
498;MDL
578;NOK
985;PLN
946;RON
960;XDR
702;SGD
972;TJS
949;TRY
934;TMT
860;UZS
980;UAH
203;CZK
752;SEK
756;CHF
710;ZAR
410;KRW
392;JPY
643;RUR
